VMW,TOST
VMW,TXN
WDAY,ADSK
WDAY,AMAT
WDAY,AVGO
WDAY,ENPH
WDAY,FI
WDAY,GDDY
WDAY,INTC
WDAY,IOT
WDAY,NVDA
WDAY,ON
WDAY,ORCL
WDAY,TOST
WDAY,TXN
WDC,ADSK
WDC,CTSH
WDC,GDDY
WDC,GRAB
WDC,NET
WDC,QCOM
WDC,TOST
WDC,TXN
ZI,ADSK
ZI,CDAY
ZI,FSLR
ZI,GDDY
ZI,GFS
ZI,TOST
ZI,TXN
ZM,ADSK
ZM,CDAY
ZM,GDDY
ZM,TOST
ZM,TRMB
ZS,ADSK
ZS,CDAY
ZS,GDDY
ZS,GFS
ZS,SNOW
ZS,TOST
ZS,ZM
